,Name,PSRJ,RAJ,DECJ,POSEPOCH,F0,F1,F2,PEPOCH,DM,DIST,W50,W10,S400,S1400,SPINDX,PSRTYPE,NGLT
1,J0006+1834,J0006+1834,00:06:04.8,+18:34:59,49079.50,1.441446,-4.357e-15,*,49079.50,12.00,0.70,82.000,195.000,0.20,*,*,*,*
2,J0007+7303,J0007+7303,00:07:01.7,+73:03:07.4,54952.00,3.165827,-3.612e-12,4.100e-23,54952.00,*,1.40,*,*,*,*,*,NRAD,1
3,B0011+47,J0014+4746,00:14:17.7,+47:46:33.4,49664.00,0.805997,-3.667e-16,7.300e-28,49664.00,30.85,1.82,88.700,142.500,14.00,3.00,-1.30,*,*
4,J0023+0923,J0023+0923,00:23:16.8,+09:23:23.8,56179.00,327.868852,*,*,*,14.30,1.00,*,*,2.00,*,*,HE,*
5,B0021-72C,J0024-7204C,00:23:50.3,-72:04:31.4,51600.00,173.708219,1.504e-15,*,51600.00,24.60,4.00,0.800,*,1.53,0.60,*,*,*
6,B0021-72D,J0024-7204D,00:24:13.8,-72:04:43.8,51600.00,186.651670,1.195e-16,*,51600.00,24.73,4.00,0.600,*,0.95,*,*,*,*
7,B0021-72E,J0024-7204E,00:24:11.1,-72:05:20.1,51600.00,282.779107,-7.877e-15,*,51600.00,24.23,4.00,0.900,*,*,*,*,*,*
8,B0021-72F,J0024-7204F,00:24:03.8,-72:04:42.8,51600.00,381.158664,-9.371e-15,*,51600.00,24.38,4.00,0.500,*,*,*,*,*,*
9,B0021-72G,J0024-7204G,00:24:07.9,-72:04:39.6,51600.00,247.501525,2.582e-15,*,51600.00,24.44,4.00,0.700,*,*,*,*,*,*
10,B0021-72H,J0024-7204H,00:24:06.7,-72:04:06.7,51600.00,311.493418,1.780e-16,1.600e-25,51600.00,24.36,4.00,0.600,*,*,*,*,*,*
11,B0021-72I,J0024-7204I,00:24:07.9,-72:04:39.6,51600.00,286.944700,3.777e-15,*,51600.00,24.42,4.00,*,*,*,*,*,*,*
12,B0021-72J,J0024-7204J,00:23:59.4,-72:03:58.7,51600.00,476.046858,2.219e-15,*,51600.00,24.58,4.00,0.500,*,*,*,*,*,*
13,B0021-72L,J0024-7204L,00:24:03.7,-72:04:56.9,51600.00,230.087746,6.462e-15,*,51600.00,24.38,4.00,0.700,*,*,*,*,*,*
14,B0021-72M,J0024-7204M,00:23:54.4,-72:05:30.7,51600.00,271.987229,2.843e-15,*,51600.00,24.42,4.00,1.200,*,*,*,*,*,*
15,B0021-72N,J0024-7204N,00:24:09.1,-72:04:28.8,51600.00,327.444319,2.345e-15,*,51600.00,24.56,4.00,*,*,*,*,*,*,*
16,J0024-7204O,J0024-7204O,00:24:04.6,-72:04:53.7,51600.00,378.308788,-4.344e-15,*,51600.00,24.36,4.00,*,*,*,*,*,*,*
17,J0024-7204P,J0024-7204P,00:24:05.6,-72:04:52.6,51000.00,274.497457,*,*,51000.00,24.30,4.00,*,*,*,*,*,*,*
18,J0024-7204Q,J0024-7204Q,00:24:16.4,-72:04:25.1,51600.00,247.943237,-2.091e-15,*,51600.00,24.29,4.00,*,*,*,*,*,*,*
19,J0024-7204R,J0024-7204R,00:24:05.6,-72:04:52.6,51000.00,287.318095,*,*,51000.00,24.40,4.00,*,*,*,*,*,*,*
20,J0024-7204S,J0024-7204S,00:24:03.9,-72:04:42.3,51600.00,353.306209,1.505e-14,*,51600.00,24.35,4.00,*,*,*,*,*,*,*
21,J0024-7204T,J0024-7204T,00:24:08.5,-72:04:38.9,51600.00,131.778699,-5.101e-15,*,51600.00,24.39,4.00,*,*,*,*,*,*,*
22,J0024-7204U,J0024-7204U,00:24:09.8,-72:03:59.6,51600.00,230.264772,-5.049e-15,*,51600.00,24.34,4.00,*,*,*,*,*,*,*
